('B1: Trimmer posn.', 'trim1qp', '0.0000', '10.2375', 'V', 'on', 'PageA0')
('C1: Coupler posn.', 'cplr1qp', '7544.0000', '7544.0000', 'mm', 'ok', 'PageA0')
('D1: Main bin delay', 'mnbn1qdl', '26.0000', '26.0000', 'units', 'UnInit', 'PageA0')
('E1: Main vern delay', 'mnvr1qdl', '93.0000', '93.0000', 'units', 'UnInit', 'PageA0')
('F1: Autotune binary', 'tmbn1qdl', '116.0000', '116.0000', 'units', 'UnInit', 'PageA0')
('G1: Autotune vernier', 'tmvr1qdl', '128.0000', '128.0000', 'units', 'UnInit', 'PageA0')
('H1: Autotune speed', 'trim1qs', '0.0000', '16.0000', 'units', 'on', 'PageA0')
('I1: Ampl. loop gain', 'ampgn1q', '20.0000', '20.0000', 'db', 'UnInit', 'PageA0')
('J1: Ampl. loop freq.', 'ampfq1q', '4.0000', '4.0000', 'Hz', 'UnInit', 'PageA0')
('K1: Phase loop gain', 'phsgn1q', '30.0000', '30.0000', 'db', 'UnInit', 'PageA0')
('L1: Phase loop freq.', 'phsfq1q', '4.0000', '4.0000', 'FqUnit', 'UnInit', 'PageA0')
('M1: Phase mod bin', 'phmd1qdl', '91.0000', '91.0000', 'units', 'UnInit', 'PageA0')
('N1: Phase loop', 'phsmd1q', '0.0000', '0.0000', 'units', 'Unknown', 'PageA0')
('O1: Autotune', 'trim1qm', '0.0000', '4.0000', 'units', 'auto', 'PageA0')
('P1: Start level DBM', 'dbmstr1q', '190.0000', '190.0000', 'units', 'on', 'PageA0')
('Q1: Start level S', 'sstrlv1q', '70.0000', '70.0000', 'units', 'on', 'PageA0')
('R1: Int level S', 'sintlv1q', '70.0000', '70.0000', 'units', 'on', 'PageA0')
('S1: Power ref.', 'sfinlv1q', '71.0000', '71.0000', 'units', 'on', 'PageA0')
('T1: Dee volts ref.', 'deeref1q', '12610', '12610', 'volts', 'UnInit', 'PageA0')
('U1: PA high-tension', 'paht1q', '0.0000', '0.0000', 'units', 'UnInit', 'PageA0')
('V1: Grid tune pos', 'grid1qp', '2501.0000', '2501.0000', 'mm', 'ok', 'PageA0')
('W1: Anode Tune posn.', 'anode1qp', '2021.0000', '2020.0000', 'mm', 'ok', 'PageA0')
('X1: t-rampup (S)', 'srmp1q', '10.0000', '10.0000', 'sec', 'on', 'PageA0')
('Y1: Trimmer Offset', 'trim1qo', '0.0000', '0.0000', 'units', 'not def', 'PageA0')
('DBM step size 1', 'dbmstp1q', '1.0000', '1.0000', 'db', 'on', 'PageA0')
('S step size 1', 'sstp1q', '2.0000', '2.0000', 'db', 'on', 'PageA0')
('DBM ramp Time 1', 'dbmrmp1q', '1.0000', '1.0000', 'sec', 'on', 'PageA0')
('Initial Delay 1', 'delrmp1q', '1.0000', '1.0000', 'sec', 'on', 'PageA0')
('A2: s/c plate posn.', 'scp2qp', '5648.0000', '5648.0000', 'mm', 'ok', 'PageA1')
('B2: Trimmer posn.', 'trim2qp', '0.0000', '10.2375', 'V', 'on', 'PageA1')
('C2: Coupler posn.', 'cplr2qp', '7511.0000', '7511.0000', 'mm', 'ok', 'PageA1')
('D2: Main bin delay', 'mnbn2qdl', '36.0000', '36.0000', 'units', 'UnInit', 'PageA1')
('E2: Main vern. delay', 'mnvr2qdl', '160.0000', '160.0000', 'units', 'UnInit', 'PageA1')
('F2: Autotune binary', 'tmbn2qdl', '127.0000', '127.0000', 'units', 'UnInit', 'PageA1')
('G2: Autotune vernier', 'tmvr2qdl', '128.0000', '128.0000', 'units', 'UnInit', 'PageA1')
('H2: Autotune speed', 'trim2qs', '0.0000', '16.0000', 'units', 'on', 'PageA1')
('I2: Ampl. loop gain', 'ampgn2q', '20.0000', '20.0000', 'db', 'UnInit', 'PageA1')
('J2: Ampl. loop freq.', 'ampfq2q', '4.0000', '4.0000', 'Hz', 'UnInit', 'PageA1')
('K2: Phase loop gain', 'phsgn2q', '20.0000', '20.0000', 'db', 'UnInit', 'PageA1')
('L2: Phase loop freq.', 'phsfq2q', '4.0000', '4.0000', 'FqUnit', 'UnInit', 'PageA1')
('M2: Phase mod bin.', 'phmd2qdl', '86.0000', '86.0000', 'units', 'UnInit', 'PageA1')
('N2: Phase loop', 'phsmd2q', '0.0000', '0.0000', 'units', 'Unknown', 'PageA1')
('O2: Autotune', 'trim2qm', '0.0000', '4.0000', 'units', 'auto', 'PageA1')
('P2: Start level DBM', 'dbmstr2q', '196.0000', '196.0000', 'db', 'on', 'PageA1')
('Q2: Start level (S)', 'sstrlv2q', '90.0000', '90.0000', 'units', 'on', 'PageA1')
('R2: Int level (S)', 'sintlv2q', '80.0000', '80.0000', 'units', 'on', 'PageA1')
('S2: Power Ref.', 'sfinlv2q', '91.0000', '91.0000', 'units', 'on', 'PageA1')
('T2: Dee volts ref.', 'deeref2q', '12342', '12342', 'volts', 'UnInit', 'PageA1')
('U2: PA high-tension', 'paht2q', '0.0000', '0.0000', 'units', 'UnInit', 'PageA1')
('V2: Grid Tune Posn', 'grid2qp', '2381.0000', '2374.0000', 'mm', 'ok', 'PageA1')
('W2: Anode Tune Posn', 'anode2qp', '2297.0000', '2297.0000', 'mm', 'ok', 'PageA1')
('X2: t-rampup (S)', 'srmp2q', '10.0000', '10.0000', 'sec', 'on', 'PageA1')
('Y2: Trimmer offset', 'trim2qo', '0.0000', '0.0000', 'units', 'not def', 'PageA1')
('DBM step size 2', 'dbmstp2q', '2.0000', '2.0000', 'db', 'on', 'PageA1')
('S step size 2', 'sstp2q', '2.0000', '2.0000', 'db', 'on', 'PageA1')
('DBM ramp Time 2', 'dbmrmp2q', '1.0000', '1.0000', 'sec', 'on', 'PageA1')
('Initial Delay 2', 'delrmp2q', '1.0000', '1.0000', 'sec', 'on', 'PageA1')
('SPC2 RF Freq', 'rffreqq', '1.44681e+07', '1.44681e+07', 'Hz', 'UnInit', 'PageA2')
('Trip Level 1 for 1', 'trplv11q', '226.0000', '226.0000', 'units', 'UnInit', 'PageA2')
('Trip Level 1 for 2', 'trplv12q', '9.0000', '9.0000', 'units', 'UnInit', 'PageA2')
('Trip Level 2 for 1', 'trplv21q', '90.0000', '90.0000', 'units', 'UnInit', 'PageA2')
('Trip Level 2 for 2', 'trplv22q', '135.0000', '135.0000', 'units', 'UnInit', 'PageA2')
('Amplt Loop Error 1', 'amperr1q', '0.0000', '-0.6175', 'units', 'on', 'PageA2')
('Amplt Loop Error 2', 'amperr2q', '0.0000', '0.0000', 'units', 'on', 'PageA2')
('Detector Voltage 1', 'detvlt1q', '0.0000', '0.0025', 'volts', 'on', 'PageA2')
('Detector Voltage 2', 'detvlt2q', '0.0000', '0.0375', 'volts', 'on', 'PageA2')
