row = ('Beam', 'dbo', 'table2007September12060815', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March09043619', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010July28050509', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015June04231617', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageE7', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011December10064658', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006May25121746', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2018September10110114', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March09042212', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012November15060703', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010September05015502', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5035', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2005October13052756', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2009March05025527', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015July16105225', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl4093', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2013January29124528', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2015February05163245', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2014May08195840', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2003April02033543', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008April16093545', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl3019', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2008December05012446', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012July10043924', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table02003June11112624', 'BASE TABLE') 
row = ('Beam', 'dbo', 'rftbl11082', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2017July27180229', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2007September14075153', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011March09044225', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010July28053638', 'BASE TABLE') 
row = ('Beam', 'dbo', 'PageE8', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2011December10033912', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2006May25125155', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010March13030145', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012November16055202', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2010September11021023', 'BASE TABLE') 
row = ('Beam', 'dbo', 'etbl5036', 'BASE TABLE') 
row = ('Beam', 'dbo', 'table2012October31094856', 'BASE TABLE') 
